timestamp, latitude, longitude, accuracy, UUID 
1494342058804,48.1561855,11.5697932,500,,903d185fccf839df
1494342064316,48.1570197,11.5677074,16,,903d185fccf839df
1494342065410,48.1570256,11.567687,32,,903d185fccf839df
1494342066414,48.1570231,11.5676671,32,,903d185fccf839df
1494342067417,48.1570339,11.5676374,32,,903d185fccf839df
1494342068417,48.1570407,11.567602,32,,903d185fccf839df
1494342069417,48.1570323,11.5675698,32,,903d185fccf839df
1494342070417,48.1570236,11.5675443,32,,903d185fccf839df
1494342071417,48.1570207,11.5675143,32,,903d185fccf839df
1494342072417,48.1570201,11.5674868,24,,903d185fccf839df
1494342073417,48.1570224,11.5674669,24,,903d185fccf839df
1494342074417,48.1570173,11.5674472,32,,903d185fccf839df
1494342075417,48.1570067,11.5674278,24,,903d185fccf839df
1494342076417,48.1570066,11.5674277,24,,903d185fccf839df
1494342077417,48.1569805,11.5673736,24,,903d185fccf839df
1494342078417,48.1569474,11.5673543,24,,903d185fccf839df
1494342079460,48.1569584,11.5673601,12,,903d185fccf839df
1494342080460,48.1569585,11.5673602,12,,903d185fccf839df
1494342082000,48.1569696,11.5673693,12,,903d185fccf839df
1494342083000,48.1569696,11.5673693,12,,903d185fccf839df
1494342084000,48.1569696,11.5673693,12,,903d185fccf839df
1494342085000,48.1569041,11.5673693,12,,903d185fccf839df
1494342086000,48.156904,11.5673694,12,,903d185fccf839df
1494342087000,48.1568901,11.5673888,8,,903d185fccf839df
1494342088000,48.1568864,11.5673988,8,,903d185fccf839df
1494342089000,48.1568862,11.5674081,8,,903d185fccf839df
1494342090000,48.1568916,11.5674172,8,,903d185fccf839df
1494342091000,48.1568982,11.5674314,8,,903d185fccf839df
1494342092000,48.1568982,11.5674314,8,,903d185fccf839df
1494342093000,48.1568982,11.5674314,8,,903d185fccf839df
1494342094000,48.1568982,11.5674314,8,,903d185fccf839df
1494342095000,48.156915,11.5674641,8,,903d185fccf839df
1494342096000,48.156922,11.5674733,8,,903d185fccf839df
1494342097000,48.1569335,11.5674746,8,,903d185fccf839df
1494342098000,48.1569743,11.5674717,8,,903d185fccf839df
1494342099000,48.1569857,11.5674761,12,,903d185fccf839df
1494342100000,48.1569935,11.567479,12,,903d185fccf839df
1494342101000,48.1570215,11.5674887,12,,903d185fccf839df
1494342102000,48.1570312,11.5674924,12,,903d185fccf839df
1494342103000,48.1570702,11.5674948,12,,903d185fccf839df
1494342104000,48.1570823,11.5674958,16,,903d185fccf839df
1494342105000,48.1570823,11.5674958,8,,903d185fccf839df
1494342106000,48.1570823,11.5674958,8,,903d185fccf839df
1494342107000,48.1570966,11.5674985,12,,903d185fccf839df
1494342108000,48.1571106,11.5674976,12,,903d185fccf839df
1494342109000,48.1571227,11.567495,12,,903d185fccf839df
1494342110000,48.1571358,11.5675012,12,,903d185fccf839df
1494342111000,48.1571444,11.5675057,12,,903d185fccf839df
1494342112000,48.1571444,11.5675057,12,,903d185fccf839df
1494342113000,48.1571534,11.567504,12,,903d185fccf839df
1494342114000,48.1571667,11.5675013,12,,903d185fccf839df
1494342115000,48.1572076,11.5674945,8,,903d185fccf839df
1494342116000,48.157251,11.5674887,8,,903d185fccf839df
1494342117000,48.1572948,11.5674801,6,,903d185fccf839df
1494342118000,48.1573329,11.5674684,12,,903d185fccf839df
1494342119000,48.1573407,11.567465,8,,903d185fccf839df
1494342120000,48.1573466,11.5674588,8,,903d185fccf839df
1494342121000,48.1573474,11.5674489,8,,903d185fccf839df
1494342122000,48.1573427,11.5674298,12,,903d185fccf839df
1494342123000,48.1573289,11.5674127,24,,903d185fccf839df
1494342124000,48.1573122,11.5673968,12,,903d185fccf839df
1494342125000,48.1573019,11.5673779,12,,903d185fccf839df
1494342126000,48.1572927,11.5673527,16,,903d185fccf839df
1494342127000,48.1572889,11.567294,16,,903d185fccf839df
1494342128000,48.1572919,11.5672652,16,,903d185fccf839df
1494342129000,48.1572995,11.567201,16,,903d185fccf839df
1494342130000,48.1573053,11.5671732,16,,903d185fccf839df
1494342131000,48.1573117,11.5671419,8,,903d185fccf839df
1494342132000,48.1573185,11.567112,12,,903d185fccf839df
1494342133000,48.1573268,11.5670814,12,,903d185fccf839df
1494342134000,48.1573349,11.567049,12,,903d185fccf839df
1494342135000,48.1573444,11.5669856,12,,903d185fccf839df
1494342136000,48.1573553,11.5669593,8,,903d185fccf839df
1494342137000,48.15737,11.5669027,8,,903d185fccf839df
1494342138000,48.1573824,11.5668818,8,,903d185fccf839df
1494342139000,48.1573938,11.5668595,12,,903d185fccf839df
1494342140000,48.1574035,11.5668368,12,,903d185fccf839df
1494342141000,48.1574111,11.5668201,12,,903d185fccf839df
1494342142000,48.1574137,11.5668024,12,,903d185fccf839df
1494342143000,48.1574138,11.566786,12,,903d185fccf839df
1494342144000,48.1574128,11.5667726,16,,903d185fccf839df
1494342145000,48.1574128,11.5667725,8,,903d185fccf839df
1494342146000,48.1574206,11.5667635,8,,903d185fccf839df
1494342147000,48.1574272,11.5667516,8,,903d185fccf839df
1494342148000,48.1574345,11.5667488,8,,903d185fccf839df
1494342149000,48.1574345,11.5667488,24,,903d185fccf839df
1494342150000,48.157435,11.5667478,24,,903d185fccf839df
1494342151000,48.157445,11.566745,24,,903d185fccf839df
1494342152000,48.1574585,11.5667407,24,,903d185fccf839df
1494342153000,48.1574757,11.5667378,16,,903d185fccf839df
1494342154000,48.1574887,11.5667349,16,,903d185fccf839df
1494342155000,48.1574974,11.5667318,16,,903d185fccf839df
1494342156000,48.1575117,11.5667301,16,,903d185fccf839df
1494342157000,48.1575117,11.5667301,12,,903d185fccf839df
1494342158000,48.1575108,11.5667148,12,,903d185fccf839df
1494342159000,48.1575063,11.5667057,12,,903d185fccf839df
1494342160000,48.1575151,11.5666944,12,,903d185fccf839df
1494342161000,48.1575271,11.5666761,8,,903d185fccf839df
1494342162000,48.1575389,11.5666577,12,,903d185fccf839df
1494342163000,48.1575498,11.566638,8,,903d185fccf839df
1494342164000,48.1575596,11.5666241,8,,903d185fccf839df
1494342165000,48.1575642,11.5666133,12,,903d185fccf839df
1494342166000,48.1575643,11.5666132,12,,903d185fccf839df
1494342167000,48.1575643,11.5666132,12,,903d185fccf839df
1494342168000,48.1575643,11.5666132,12,,903d185fccf839df
1494342169000,48.1575691,11.5666186,24,,903d185fccf839df
1494342170000,48.1575692,11.5666186,16,,903d185fccf839df
1494342171000,48.1575692,11.5666186,16,,903d185fccf839df
1494342172000,48.1575739,11.566629,16,,903d185fccf839df
1494342173000,48.1575791,11.5666338,16,,903d185fccf839df
1494342174000,48.1575792,11.5666339,16,,903d185fccf839df
1494342175000,48.1575811,11.5666364,16,,903d185fccf839df
1494342176000,48.1575841,11.5666409,8,,903d185fccf839df
1494342177000,48.1575838,11.5666423,16,,903d185fccf839df
1494342189120,48.1567691,11.5671492,500,,903d185fccf839df
1494342194153,48.1567691,11.5671492,500,,903d185fccf839df
1494342199174,48.1567691,11.5671492,500,,903d185fccf839df
1494342204185,48.1567691,11.5671492,500,,903d185fccf839df
1494342209214,48.1567691,11.5671492,500,,903d185fccf839df
1494342214216,48.1567691,11.5671492,500,,903d185fccf839df
1494342219263,48.1567691,11.5671492,500,,903d185fccf839df
1494342224310,48.1567691,11.5671492,500,,903d185fccf839df
1494342229371,48.1567691,11.5671492,500,,903d185fccf839df
1494342234409,48.1567691,11.5671492,500,,903d185fccf839df
1494342239414,48.1567691,11.5671492,500,,903d185fccf839df
