prediction, timestamp 
sitting,1494346434378
sitting,1494346435736
sitting,1494346437235
sitting,1494346438731
sitting,1494346440292
sitting,1494346441735
sitting,1494346443224
sitting,1494346444745
sitting,1494346446222
walking downstairs,1494346447730
walking,1494346449226
walking,1494346450727
walking,1494346452234
sitting,1494346453725
sitting,1494346455230
sitting,1494346456763
sitting,1494346458242
sitting,1494346459750
sitting,1494346461228
walking downstairs,1494346462737
walking downstairs,1494346464218
walking downstairs,1494346465769
walking downstairs,1494346467227
walking downstairs,1494346468718
walking downstairs,1494346470229
walking downstairs,1494346471727
sitting,1494346473223
sitting,1494346474735
sitting,1494346476225
sitting,1494346477728
sitting,1494346479241
walking downstairs,1494346480727
walking downstairs,1494346482260
walking downstairs,1494346483737
walking downstairs,1494346485229
walking downstairs,1494346486729
walking downstairs,1494346488228
walking downstairs,1494346489729
walking downstairs,1494346491222
walking downstairs,1494346492724
walking downstairs,1494346494219
walking downstairs,1494346495739
walking downstairs,1494346497235
walking downstairs,1494346498758
walking downstairs,1494346500237
walking downstairs,1494346501731
walking,1494346503231
walking,1494346504747
walking,1494346506220
walking downstairs,1494346507723
walking downstairs,1494346509229
walking downstairs,1494346510720
walking downstairs,1494346512224
walking downstairs,1494346513761
walking downstairs,1494346515237
walking downstairs,1494346516717
walking upstairs,1494346518245
walking downstairs,1494346519717
walking,1494346521222
sitting,1494346522712
walking,1494346524226
sitting,1494346525729
sitting,1494346527230
sitting,1494346528752
sitting,1494346530253
sitting,1494346531728
sitting,1494346533221
sitting,1494346534720
sitting,1494346536222
sitting,1494346537735
sitting,1494346539238
walking upstairs,1494346540745
walking downstairs,1494346542238
walking downstairs,1494346543724
walking downstairs,1494346545262
sitting,1494346546732
sitting,1494346548236
sitting,1494346549737
sitting,1494346551221
sitting,1494346552726
sitting,1494346554233
sitting,1494346555719
sitting,1494346557239
sitting,1494346558728
sitting,1494346560218
sitting,1494346561772
sitting,1494346563236
sitting,1494346564744
sitting,1494346566221
sitting,1494346567738
sitting,1494346569230
sitting,1494346570744
sitting,1494346572224
sitting,1494346573730
sitting,1494346575240
sitting,1494346576728
sitting,1494346578263
sitting,1494346579748
sitting,1494346581225
sitting,1494346582725
sitting,1494346584222
sitting,1494346585693
sitting,1494346587194
sitting,1494346588797
sitting,1494346590252
sitting,1494346591729
sitting,1494346593214
sitting,1494346594720
sitting,1494346596229
sitting,1494346597718
sitting,1494346599227
sitting,1494346600880
sitting,1494346602225
sitting,1494346603725
sitting,1494346605288
sitting,1494346606721
sitting,1494346608221
sitting,1494346609724
sitting,1494346611220
walking downstairs,1494346612715
walking downstairs,1494346614243
walking downstairs,1494346615722
walking downstairs,1494346617219
walking,1494346618766
walking,1494346620605
walking,1494346621702
sitting,1494346623193
sitting,1494346624704
sitting,1494346626202
walking downstairs,1494346627691
sitting,1494346629196
sitting,1494346630756
sitting,1494346632251
sitting,1494346633717
sitting,1494346635256
sitting,1494346636716
sitting,1494346638226
sitting,1494346639724
walking downstairs,1494346641227
walking downstairs,1494346642721
sitting,1494346644256
sitting,1494346645757
sitting,1494346647236
sitting,1494346648718
sitting,1494346650227
sitting,1494346651719
sitting,1494346653227
sitting,1494346654717
sitting,1494346656237
sitting,1494346657721
sitting,1494346659251
sitting,1494346660702
sitting,1494346662229
walking,1494346663721
walking,1494346665225
walking,1494346666730
sitting,1494346668214
sitting,1494346671157
