timestamp, latitude, longitude, accuracy, UUID 
1494444161999,48.1568354,11.5674148,12,,903d185fccf839df
1494444162999,48.1568354,11.5674148,6,,903d185fccf839df
1494444163999,48.1568354,11.5674148,6,,903d185fccf839df
1494444164999,48.156811,11.5674259,6,,903d185fccf839df
1494444165999,48.1568168,11.5674341,6,,903d185fccf839df
1494444166999,48.1568225,11.5674434,12,,903d185fccf839df
1494444167999,48.1568225,11.5674434,12,,903d185fccf839df
1494444168999,48.156822,11.5674545,12,,903d185fccf839df
1494444169999,48.1568183,11.5674647,12,,903d185fccf839df
1494444170999,48.1568148,11.5674753,8,,903d185fccf839df
1494444171999,48.1568148,11.5674753,8,,903d185fccf839df
1494444172999,48.1568148,11.5674753,8,,903d185fccf839df
1494444173999,48.1568148,11.5674753,8,,903d185fccf839df
1494444174999,48.1568093,11.5674772,8,,903d185fccf839df
1494444175999,48.1568152,11.5674739,8,,903d185fccf839df
1494444176999,48.1568153,11.5674739,8,,903d185fccf839df
1494444177999,48.1568153,11.5674739,8,,903d185fccf839df
1494444178999,48.1568391,11.5674549,6,,903d185fccf839df
1494444179999,48.1568395,11.5674592,6,,903d185fccf839df
1494444180999,48.1568397,11.5674613,6,,903d185fccf839df
1494444181999,48.1568397,11.5674613,6,,903d185fccf839df
1494444182999,48.1568397,11.5674613,6,,903d185fccf839df
1494444183999,48.1568397,11.5674613,6,,903d185fccf839df
1494444184999,48.1568397,11.5674613,6,,903d185fccf839df
1494444185999,48.1568664,11.5674821,6,,903d185fccf839df
1494444186999,48.1568745,11.5674816,6,,903d185fccf839df
1494444187999,48.1568897,11.5674875,16,,903d185fccf839df
1494444188999,48.1569066,11.5674912,16,,903d185fccf839df
1494444189999,48.1569391,11.5674982,8,,903d185fccf839df
1494444190999,48.1569567,11.5675023,12,,903d185fccf839df
1494444191999,48.1569745,11.5675061,12,,903d185fccf839df
1494444192999,48.1570088,11.5675103,6,,903d185fccf839df
1494444193999,48.1570232,11.5675113,6,,903d185fccf839df
1494444194999,48.1570506,11.5675168,6,,903d185fccf839df
1494444195999,48.1570744,11.5675184,8,,903d185fccf839df
1494444196999,48.157086,11.5675197,16,,903d185fccf839df
1494444197999,48.1570957,11.5675206,8,,903d185fccf839df
1494444198999,48.157132,11.5675262,8,,903d185fccf839df
1494444199999,48.1571407,11.5675262,8,,903d185fccf839df
1494444200999,48.1571842,11.5674925,8,,903d185fccf839df
1494444201999,48.1572186,11.5674673,8,,903d185fccf839df
1494444202999,48.1572252,11.5674621,12,,903d185fccf839df
1494444203999,48.1572405,11.5674538,8,,903d185fccf839df
1494444204999,48.1572395,11.5674532,8,,903d185fccf839df
1494444205999,48.1572381,11.5674489,8,,903d185fccf839df
1494444206999,48.1572563,11.5674423,8,,903d185fccf839df
1494444207999,48.1572711,11.5674385,6,,903d185fccf839df
1494444208999,48.1572896,11.5674329,6,,903d185fccf839df
1494444209999,48.1573162,11.5674326,6,,903d185fccf839df
1494444210999,48.1573265,11.5674328,6,,903d185fccf839df
1494444211999,48.1573318,11.5674319,6,,903d185fccf839df
1494444212999,48.1573376,11.5674301,6,,903d185fccf839df
